time(s),Temp (K)
0,500
0.1,500
1.1,500
2.1,500
3.1,500
4.1,500
5.1,500
6.1,500
7.1,500
8.1,500
9.1,500
10.1,500
11.1,500
12.1,500
13.1,500
14.1,500
15.1,500
16.1,500
17.1,500
18.1,500
19.1,500
20.1,500
21.1,500
22.1,500
23.1,500
24.1,500
25.1,500
26.1,500
27.1,500
28.1,500
29.1,500
30.1,500
31.1,500
32.1,500
33.1,500
34.1,500
35.1,500
36.1,500
37.1,500
38.1,500
39.1,500
40.1,500
41.1,500
42.1,500
43.1,500
44.1,500
45.1,500
46.1,500
47.1,500
48.1,500
49.1,500
50.1,500
51.1,500
52.1,500
53.1,500
54.1,500
55.1,500
56.1,500
57.1,500
58.1,500
59.1,500
60.1,500
61.1,500
62.1,500
63.1,500
64.1,500
65.1,500
66.1,500
67.1,500
68.1,500
69.1,500
70.1,500
71.1,500
72.1,500
73.1,500
74.1,500
75.1,500
76.1,500
77.1,500
78.1,500
79.1,500
80.1,500
81.1,500
82.1,500
83.1,500
84.1,500
85.1,500
86.1,500
87.1,500
88.1,500
89.1,500
90.1,500
91.1,500
92.1,500
93.1,500
94.1,500
95.1,500
96.1,500
97.1,500
98.1,500
99.1,500
100.1,500
101.1,500
102.1,500
103.1,500
104.1,500
105.1,500
106.1,500
107.1,500
108.1,500
109.1,500
110.1,500
111.1,500
112.1,500
113.1,500
114.1,500
115.1,500
116.1,500
117.1,500
118.1,500
119.1,500
120.1,500
121.1,500
122.1,500
123.1,500
124.1,500
125.1,500
126.1,500
127.1,500
128.1,500
129.1,500
130.1,500
131.1,500
132.1,500
133.1,500
134.1,500
135.1,500
136.1,500
137.1,500
138.1,500
139.1,500
140.1,500
141.1,500
142.1,500
143.1,500
144.1,500
145.1,500
146.1,500
147.1,500
148.1,500
149.1,500
150.1,500
151.1,500
152.1,500
153.1,500
154.1,500
155.1,500
156.1,500
157.1,500
158.1,500
159.1,500
160.1,500
161.1,500
162.1,500
163.1,500
164.1,500
165.1,500
166.1,500
167.1,500
168.1,500
169.1,500
170.1,500
171.1,500
172.1,500
173.1,500
174.1,500
175.1,500
176.1,500
177.1,500
178.1,500
179.1,500
180.1,500
181.1,500
182.1,500
183.1,500
184.1,500
185.1,500
186.1,500
187.1,500
188.1,500
189.1,500
190.1,500
191.1,500
192.1,500
193.1,500
194.1,500
195.1,500
196.1,500
197.1,500
198.1,500
199.1,500
200.1,500
201.1,500
202.1,500
203.1,500
204.1,500
205.1,500
206.1,500
207.1,500
208.1,500
209.1,500
210.1,500
211.1,500
212.1,500
213.1,500
214.1,500
215.1,500
216.1,500
217.1,500
218.1,500
219.1,500
220.1,500
221.1,500
222.1,500
223.1,500
224.1,500
225.1,500
226.1,500
227.1,500
228.1,500
229.1,500
230.1,500
231.1,500
232.1,500
233.1,500
234.1,500
235.1,500
236.1,500
237.1,500
238.1,500
239.1,500
240.1,500
241.1,500
242.1,500
243.1,500
244.1,500
245.1,500
246.1,500
247.1,500
248.1,500
249.1,500
250.1,500
251.1,500
252.1,500
253.1,500
254.1,500
255.1,500
256.1,500
257.1,500
258.1,500
259.1,500
260.1,500
261.1,500
262.1,500
263.1,500
264.1,500
265.1,500
266.1,500
267.1,500
268.1,500
269.1,500
270.1,500
271.1,500
272.1,500
273.1,500
274.1,500
275.1,500
276.1,500
277.1,500
278.1,500
279.1,500
280.1,500
281.1,500
282.1,500
283.1,500
284.1,500
285.1,500
286.1,500
287.1,500
288.1,500
289.1,500
290.1,500
291.1,500
292.1,500
293.1,500
294.1,500
295.1,500
296.1,500
297.1,500
298.1,500
299.1,500
300.1,500
301.1,500
302.1,500
303.1,500
304.1,500
305.1,500
306.1,500
307.1,500
308.1,500
309.1,500
310.1,500
311.1,500
312.1,500
313.1,500
314.1,500
315.1,500
316.1,500
317.1,500
318.1,500
319.1,500
320.1,500
321.1,500
322.1,500
323.1,500
324.1,500
325.1,500
326.1,500
327.1,500
328.1,500
329.1,500
330.1,500
331.1,500
332.1,500
333.1,500
334.1,500
335.1,500
336.1,500
337.1,500
338.1,500
339.1,500
340.1,500
341.1,500
342.1,500
343.1,500
344.1,500
345.1,500
346.1,500
347.1,500
348.1,500
349.1,500
350.1,500
351.1,500
352.1,500
353.1,500
354.1,500
355.1,500
356.1,500
357.1,500
358.1,500
359.1,500
360.1,500
361.1,500
362.1,500
363.1,500
364.1,500
365.1,500
366.1,500
367.1,500
368.1,500
369.1,500
370.1,500
371.1,500
372.1,500
373.1,500
374.1,500
375.1,500
376.1,500
377.1,500
378.1,500
379.1,500
380.1,500
381.1,500
382.1,500
383.1,500
384.1,500
385.1,500
386.1,500
387.1,500
388.1,500
389.1,500
390.1,500
391.1,500
392.1,500
393.1,500
394.1,500
395.1,500
396.1,500
397.1,500
398.1,500
399.1,500
400.1,500
401.1,500
402.1,500
403.1,500
404.1,500
405.1,500
406.1,500
407.1,500
408.1,500
409.1,500
410.1,500
411.1,500
412.1,500
413.1,500
414.1,500
415.1,500
416.1,500
417.1,500
418.1,500
419.1,500
420.1,500
421.1,500
422.1,500
423.1,500
424.1,500
425.1,500
426.1,500
427.1,500
428.1,500
429.1,500
430.1,500
431.1,500
432.1,500
433.1,500
434.1,500
435.1,500
436.1,500
437.1,500
438.1,500
439.1,500
440.1,500
441.1,500
442.1,500
443.1,500
444.1,500
445.1,500
446.1,500
447.1,500
448.1,500
449.1,500
450.1,500
451.1,500
452.1,500
453.1,500
454.1,500
455.1,500
456.1,500
457.1,500
458.1,500
459.1,500
460.1,500
461.1,500
462.1,500
463.1,500
464.1,500
465.1,500
466.1,500
467.1,500
468.1,500
469.1,500
470.1,500
471.1,500
472.1,500
473.1,500
474.1,500
475.1,500
476.1,500
477.1,500
478.1,500
479.1,500
480.1,500
481.1,500
482.1,500
483.1,500
484.1,500
485.1,500
486.1,500
487.1,500
488.1,500
489.1,500
490.1,500
491.1,500
492.1,500
493.1,500
494.1,500
495.1,500
496.1,500
497.1,500
498.1,500
499.1,500
500.1,500
501.1,500
502.1,500
503.1,500
504.1,500
505.1,500
506.1,500
507.1,500
508.1,500
509.1,500
510.1,500
511.1,500
512.1,500
513.1,500
514.1,500
515.1,500
516.1,500
517.1,500
518.1,500
519.1,500
520.1,500
521.1,500
522.1,500
523.1,500
524.1,500
525.1,500
526.1,500
527.1,500
528.1,500
529.1,500
530.1,500
531.1,500
532.1,500
533.1,500
534.1,500
535.1,500
536.1,500
537.1,500
538.1,500
539.1,500
540.1,500
541.1,500
542.1,500
543.1,500
544.1,500
545.1,500
546.1,500
547.1,500
548.1,500
549.1,500
550.1,500
551.1,500
552.1,500
553.1,500
554.1,500
555.1,500
556.1,500
557.1,500
558.1,500
559.1,500
560.1,500
561.1,500
562.1,500
563.1,500
564.1,500
565.1,500
566.1,500
567.1,500
568.1,500
569.1,500
570.1,500
571.1,500
572.1,500
573.1,500
574.1,500
575.1,500
576.1,500
577.1,500
578.1,500
579.1,500
580.1,500
581.1,500
582.1,500
583.1,500
584.1,500
585.1,500
586.1,500
587.1,500
588.1,500
589.1,500
590.1,500
591.1,500
592.1,500
593.1,500
594.1,500
595.1,500
596.1,500
597.1,500
598.1,500
599.1,500
600.1,500
601.1,500
602.1,500
603.1,500
604.1,500
605.1,500
606.1,500
607.1,500
608.1,500
609.1,500
610.1,500
611.1,500
612.1,500
613.1,500
614.1,500
615.1,500
616.1,500
617.1,500
618.1,500
619.1,500
620.1,500
621.1,500
622.1,500
623.1,500
624.1,500
625.1,500
626.1,500
627.1,500
628.1,500
629.1,500
630.1,500
631.1,500
632.1,500
633.1,500
634.1,500
635.1,500
636.1,500
637.1,500
638.1,500
639.1,500
640.1,500
641.1,500
642.1,500
643.1,500
644.1,500
645.1,500
646.1,500
647.1,500
648.1,500
649.1,500
650.1,500
651.1,500
652.1,500
653.1,500
654.1,500
655.1,500
656.1,500
657.1,500
658.1,500
659.1,500
660.1,500
661.1,500
662.1,500
663.1,500
664.1,500
665.1,500
666.1,500
667.1,500
668.1,500
669.1,500
670.1,500
671.1,500
672.1,500
673.1,500
674.1,500
675.1,500
676.1,500
677.1,500
678.1,500
679.1,500
680.1,500
681.1,500
682.1,500
683.1,500
684.1,500
685.1,500
686.1,500
687.1,500
688.1,500
689.1,500
690.1,500
691.1,500
692.1,500
693.1,500
694.1,500
695.1,500
696.1,500
697.1,500
698.1,500
699.1,500
700.1,500
701.1,500
702.1,500
703.1,500
704.1,500
705.1,500
706.1,500
707.1,500
708.1,500
709.1,500
710.1,500
711.1,500
712.1,500
713.1,500
714.1,500
715.1,500
716.1,500
717.1,500
718.1,500
719.1,500
720.1,500
721.1,500
722.1,500
723.1,500
724.1,500
725.1,500
726.1,500
727.1,500
728.1,500
729.1,500
730.1,500
731.1,500
732.1,500
733.1,500
734.1,500
735.1,500
736.1,500
737.1,500
738.1,500
739.1,500
740.1,500
741.1,500
742.1,500
743.1,500
744.1,500
745.1,500
746.1,500
747.1,500
748.1,500
749.1,500
750.1,500
751.1,500
752.1,500
753.1,500
754.1,500
755.1,500
756.1,500
757.1,500
758.1,500
759.1,500
760.1,500
761.1,500
762.1,500
763.1,500
764.1,500
765.1,500
766.1,500
767.1,500
768.1,500
769.1,500
770.1,500
771.1,500
772.1,500
773.1,500
774.1,500
775.1,500
776.1,500
777.1,500
778.1,500
779.1,500
780.1,500
781.1,500
782.1,500
783.1,500
784.1,500
785.1,500
786.1,500
787.1,500
788.1,500
789.1,500
790.1,500
791.1,500
792.1,500
793.1,500
794.1,500
795.1,500
796.1,500
797.1,500
798.1,500
799.1,500
800.1,500
801.1,500
802.1,500
803.1,500
804.1,500
805.1,500
806.1,500
807.1,500
808.1,500
809.1,500
810.1,500
811.1,500
812.1,500
813.1,500
814.1,500
815.1,500
816.1,500
817.1,500
818.1,500
819.1,500
820.1,500
821.1,500
822.1,500
823.1,500
824.1,500
825.1,500
826.1,500
827.1,500
828.1,500
829.1,500
830.1,500
831.1,500
832.1,500
833.1,500
834.1,500
835.1,500
836.1,500
837.1,500
838.1,500
839.1,500
840.1,500
841.1,500
842.1,500
